Plate,Content,Annotation,Mass
231115_Phenol_2,Sample X1,0,NA
231115_Phenol_2,Sample X2,0,NA
231115_Phenol_2,Sample X3,0,NA
231115_Phenol_2,Sample X4,0.1,NA
231115_Phenol_2,Sample X5,0.1,NA
231115_Phenol_2,Sample X6,0.1,NA
231115_Phenol_2,Sample X7,0.25,NA
231115_Phenol_2,Sample X8,0.25,NA
231115_Phenol_2,Sample X9,0.25,NA
231115_Phenol_2,Sample X10,0.5,NA
231115_Phenol_2,Sample X11,0.5,NA
231115_Phenol_2,Sample X12,0.5,NA
231115_Phenol_2,Sample X13,0.75,NA
231115_Phenol_2,Sample X14,0.75,NA
231115_Phenol_2,Sample X15,0.75,NA
231115_Phenol_2,Sample X16,0.9,NA
231115_Phenol_2,Sample X17,0.9,NA
231115_Phenol_2,Sample X18,0.9,NA
231115_Phenol_2,Sample X19,1,NA
231115_Phenol_2,Sample X20,1,NA
231115_Phenol_2,Sample X21,1,NA
231115_Phenol_2,Sample X22,U1f,59.02
231115_Phenol_2,Sample X23,U1f,59.02
231115_Phenol_2,Sample X24,U1f,59.02
231115_Phenol_2,Sample X25,U2f,75.01
231115_Phenol_2,Sample X26,U2f,75.01
231115_Phenol_2,Sample X27,U2f,75.01
231115_Phenol_2,Sample X28,U3f,34.86
231115_Phenol_2,Sample X29,U3f,34.86
231115_Phenol_2,Sample X30,U3f,34.86
231115_Phenol_2,Sample X31,U4f,58.42
231115_Phenol_2,Sample X32,U4f,58.42
231115_Phenol_2,Sample X33,U4f,58.42
231115_Phenol_2,Sample X34,U5f,55.47
231115_Phenol_2,Sample X35,U5f,55.47
231115_Phenol_2,Sample X36,U5f,55.47
231115_Phenol_2,Sample X37,U6f,49.05
231115_Phenol_2,Sample X38,U6f,49.05
231115_Phenol_2,Sample X39,U6f,49.05
231115_Phenol_2,Sample X40,U7f,63.37
231115_Phenol_2,Sample X41,U7f,63.37
231115_Phenol_2,Sample X42,U7f,63.37
231115_Phenol_2,Sample X43,U8f,67.56
231115_Phenol_2,Sample X44,U8f,67.56
