Plate,Annotation,Mass
231117_Pigments_1_200uL_undiluted,96% ethanol,NA
231117_Pigments_1_200uL_undiluted,96% ethanol,NA
231117_Pigments_1_200uL_undiluted,96% ethanol,NA
231117_Pigments_1_200uL_undiluted,U1f,117.51
231117_Pigments_1_200uL_undiluted,U1f,117.51
231117_Pigments_1_200uL_undiluted,U1f,117.51
231117_Pigments_1_200uL_undiluted,U2f,116.43
231117_Pigments_1_200uL_undiluted,U2f,116.43
231117_Pigments_1_200uL_undiluted,U2f,116.43
231117_Pigments_1_200uL_undiluted,U3f,20.49
231117_Pigments_1_200uL_undiluted,U3f,20.49
231117_Pigments_1_200uL_undiluted,U3f,20.49
231117_Pigments_1_200uL_undiluted,U4f,122.03
231117_Pigments_1_200uL_undiluted,U4f,122.03
231117_Pigments_1_200uL_undiluted,U4f,122.03
231117_Pigments_1_200uL_undiluted,U5f,103.75
231117_Pigments_1_200uL_undiluted,U5f,103.75
231117_Pigments_1_200uL_undiluted,U5f,103.75
231117_Pigments_1_200uL_undiluted,U6f,98.93
231117_Pigments_1_200uL_undiluted,U6f,98.93
231117_Pigments_1_200uL_undiluted,U6f,98.93
231117_Pigments_1_200uL_undiluted,U7f,115.66
231117_Pigments_1_200uL_undiluted,U7f,115.66
231117_Pigments_1_200uL_undiluted,U7f,115.66
231117_Pigments_1_200uL_undiluted,U8f,94.74
231117_Pigments_1_200uL_undiluted,U8f,94.74
231117_Pigments_1_200uL_undiluted,U8f,94.74
231117_Pigments_1_200uL_undiluted,U9f,111.67
231117_Pigments_1_200uL_undiluted,U9f,111.67
231117_Pigments_1_200uL_undiluted,U9f,111.67
231117_Pigments_1_200uL_undiluted,U10f,83.97
231117_Pigments_1_200uL_undiluted,U10f,83.97
231117_Pigments_1_200uL_undiluted,U10f,83.97
231117_Pigments_1_200uL_undiluted,U11f,129.55
231117_Pigments_1_200uL_undiluted,U11f,129.55
231117_Pigments_1_200uL_undiluted,U11f,129.55
231117_Pigments_1_200uL_undiluted,U12f,80.28
231117_Pigments_1_200uL_undiluted,U12f,80.28
231117_Pigments_1_200uL_undiluted,U12f,80.28
231117_Pigments_1_200uL_undiluted,U13f,93.09
231117_Pigments_1_200uL_undiluted,U13f,93.09
231117_Pigments_1_200uL_undiluted,U13f,93.09
231117_Pigments_1_200uL_undiluted,U14f,114.35
231117_Pigments_1_200uL_undiluted,U14f,114.35
231117_Pigments_1_200uL_undiluted,U14f,114.35
231117_Pigments_1_200uL_undiluted,U15f,99.53
231117_Pigments_1_200uL_undiluted,U15f,99.53
231117_Pigments_1_200uL_undiluted,U15f,99.53
231117_Pigments_1_200uL_undiluted,U2,111.72
231117_Pigments_1_200uL_undiluted,U2,111.72
231117_Pigments_1_200uL_undiluted,U2,111.72
231117_Pigments_1_200uL_undiluted,U5,82.52
231117_Pigments_1_200uL_undiluted,U5,82.52
231117_Pigments_1_200uL_undiluted,U5,82.52
231117_Pigments_1_200uL_undiluted,U8,99.44
231117_Pigments_1_200uL_undiluted,U8,99.44
231117_Pigments_1_200uL_undiluted,U8,99.44
231117_Pigments_1_200uL_undiluted,U11,96.33
231117_Pigments_1_200uL_undiluted,U11,96.33
231117_Pigments_1_200uL_undiluted,U11,96.33
231117_Pigments_1_200uL_undiluted,U15,119.22
231117_Pigments_1_200uL_undiluted,U15,119.22
231117_Pigments_1_200uL_undiluted,U15,119.22
