"pigment" "a" "xp" "s"
"133" "Lut" 0.6053 420.57 11.1
"134" "Lut" 0.1846 398.01 8.41
"135" "Lut" 0.1347 383.01 13.79
"136" "Lut" 0.0605 329.21 26.36
"137" "Myxo" 0.6003 508.56 10.95
"138" "Myxo" 0.2493 507.1 21.58
"139" "Myxo" 0.8691 476.09 11.31
"140" "Myxo" 0.6179 448.14 11.37
"141" "Myxo" 0.2992 422.35 11.06
"142" "Myxo" 0.1005 399.73 9.81
"143" "Myxo" 0.084 366.6 19.45
"144" "c.Neo" 0.4336 467.73 6.06
"145" "c.Neo" 0.4521 466.62 10.74
"146" "c.Neo" 0.8741 438.8 9.25
"147" "c.Neo" 0.5047 413.77 8.47
"148" "c.Neo" 0.1219 410.22 46.85
"149" "c.Neo" 0.2001 391.53 9.06
"150" "c.Neo" 0.0398 369.7 6.72
"151" "Peri" 0.2126 230.5388 120.6307
"152" "Peri" 0.9278 466.8497 40.9973
"153" "Peri" 0.122 494.519 16.5077
"154" "Viola" 0.3326 472.04 10.76
"155" "Viola" 0.5912 471.68 6.55
"156" "Viola" 0.7958 445.43 9.17
"157" "Viola" 0.2081 437.28 5.42
"158" "Viola" 0.5803 417.59 10.69
"159" "Viola" 0.076 408.04 54.73
"160" "Viola" 0.1848 393.5 7.08
"691" "Anth" 0.4882 474.76 11.71
"701" "Anth" 0.2609 469.51 6.99
"711" "Anth" 0.7795 442.97 11.71
"721" "Anth" 0.2435 417.47 43.28
"731" "Anth" 0.3701 416.8 8.47
"741" "Anth" 0.1611 396.47 10.37
"751" "Anth" 0.0213 372.69 6.34
"761" "Anth" 0.4867 289.4 20.07
"911" "b.Cryp" 0.0031 583.73 51.22
"921" "b.Cryp" 0.6123 484.64 12.33
"931" "b.Cryp" 0.4611 454.21 10.52
"941" "b.Cryp" 0.5532 439.61 35.26
"951" "b.Cryp" 0.143 427.07 9.01
"961" "b.Cryp" 0.0198 400.77 5.52
"971" "b.Cryp" 0.0619 317.35 29.01
"184" "Zea" 0.2165 488.21 15.54
"185" "Zea" 0.571 483.13 11.63
"186" "Zea" 0.8665 453.57 12.47
"187" "Zea" 0.5054 426.23 11.38
"188" "Zea" 0.0839 403.6 64.4
"189" "Zea" 0.2065 402.18 10.8
"190" "Zea" 0.0425 381.1 8.49
"161" "Pheide.a" 0.5426 375.7747 23.9731
"210" "Pheide.a" 0.6329 406.7535 14.3834
"310" "Pheide.a" 0.2451 415.2524 6.5416
"410" "Pheide.a" 0.0212 448.5109 5.9673
"510" "Pheide.a" 0.0562 470.7672 12.8665
"610" "Pheide.a" 6e-04 492.7072 16.2848
"710" "Pheide.a" 0.1189 505.6383 11.1766
"810" "Pheide.a" 0.0978 535.898 7.5005
"910" "Pheide.a" 0.0196 556.7586 6.7245
"1010" "Pheide.a" 0.0353 570.2297 17.2743
"1110" "Pheide.a" 0.0886 608.6692 11.249
"1210" "Pheide.a" 0.0911 656.6483 20.9161
"1310" "Pheide.a" 0.3752 666.2796 7.824
