Season,Tank,Deployment,Retrieval,Initial,Final,Diameter,Initials,Notes
Spring,U3,13.05.24 16:49,23.05.24 09:31,50.689,50.947,52.51,JVM,
Spring,U3,13.05.24 16:49,23.05.24 09:31,56.581,58.235,55.6,JVM,
Spring,U3,13.05.24 16:49,23.05.24 09:31,73.828,73.517,62.45,JVM,
Spring,U4,13.05.24 16:53,21.05.24 14:58,51.691,50.83,54.02,JVM,
Spring,U4,13.05.24 16:53,21.05.24 14:58,68.533,67.781,59.59,JVM,
Spring,U4,13.05.24 16:53,21.05.24 14:58,72.277,71.259,62.24,JVM,
Spring,U4,13.05.24 16:53,21.05.24 14:58,61.601,60.688,53.49,JVM,
Spring,U4,13.05.24 16:53,21.05.24 14:58,56.687,56.321,54.08,JVM,
Spring,U5,13.05.24 16:56,23.05.24 09:35,46.503,47.023,52.22,JVM,
Spring,U5,13.05.24 16:56,23.05.24 09:35,60.871,62.082,50.97,JVM,
Spring,U5,13.05.24 16:56,23.05.24 09:35,48.597,49.966,49.97,JVM,
Spring,U5,13.05.24 16:56,23.05.24 09:35,65.163,66.657,56.41,JVM,
Spring,U5,13.05.24 16:56,23.05.24 09:35,48.105,49.077,48.32,JVM,
Spring,U6,13.05.24 17:01,23.05.24 09:40,52.15,51.668,49.07,JVM,
Spring,U6,13.05.24 17:01,23.05.24 09:40,46.9,48.076,45.9,JVM,
Spring,U6,13.05.24 17:01,23.05.24 09:40,54.666,52.774,51.63,JVM,
Spring,U6,13.05.24 17:01,23.05.24 09:40,43.877,44,45.45,JVM,
Spring,U6,13.05.24 17:01,23.05.24 09:40,58.381,58.741,51.42,JVM,
Spring,U7,13.05.24 17:03,23.05.24 09:43,51.288,50.725,49.79,JVM,
Spring,U7,13.05.24 17:03,23.05.24 09:43,53.626,53.738,52.24,JVM,
Spring,U7,13.05.24 17:03,23.05.24 09:43,44.091,40.444,47.57,JVM,
Spring,U7,13.05.24 17:03,23.05.24 09:43,42.129,39.88,47.17,JVM,
Spring,U7,13.05.24 17:03,23.05.24 09:43,49.207,43.74,44.13,JVM,
Spring,U8,13.05.24 17:05,23.05.24 09:46,58.732,57.863,52.68,JVM,
Spring,U8,13.05.24 17:05,23.05.24 09:46,58.038,57.393,52.4,JVM,
Spring,U8,13.05.24 17:05,23.05.24 09:46,51.49,51.304,52.09,JVM,
Spring,U8,13.05.24 17:05,23.05.24 09:46,54.711,54.797,51.15,JVM,
Spring,U8,13.05.24 17:05,23.05.24 09:46,62.326,60.826,55.1,JVM,
Spring,U9,13.05.24 17:08,23.05.24 09:50,47.818,46.932,50.25,JVM,
Spring,U9,13.05.24 17:08,23.05.24 09:50,40.24,41.153,44.55,JVM,
Spring,U9,13.05.24 17:08,23.05.24 09:50,48.062,48.328,46.73,JVM,
Spring,U9,13.05.24 17:08,23.05.24 09:50,59.465,60.28,53.41,JVM,
Spring,U9,13.05.24 17:08,23.05.24 09:50,59.203,59.514,50.82,JVM,
Spring,U10,13.05.24 17:11,23.05.24 09:54,56.045,56.612,49.39,JVM,
Spring,U10,13.05.24 17:11,23.05.24 09:54,48.768,49.751,49.62,JVM,
Spring,U10,13.05.24 17:11,23.05.24 09:54,43.857,43.621,51.54,JVM,
Spring,U10,13.05.24 17:11,23.05.24 09:54,57.344,58.06,53.95,JVM,
Spring,U10,13.05.24 17:11,23.05.24 09:54,51.067,51.002,48.61,JVM,
Spring,U11,13.05.24 17:15,23.05.24 09:58,59.976,60.247,52.67,JVM,
Spring,U11,13.05.24 17:15,23.05.24 09:58,52.417,52.917,48.58,JVM,
Spring,U11,13.05.24 17:15,23.05.24 09:58,48.888,49.527,48.71,JVM,
Spring,U11,13.05.24 17:15,23.05.24 09:58,57.9,59.075,50.19,JVM,
Spring,U11,13.05.24 17:15,23.05.24 09:58,52.753,53.739,51.75,JVM,
Spring,U12,13.05.24 17:17,21.05.24 15:00,57.79,59.239,54.09,JVM,
Spring,U12,13.05.24 17:17,21.05.24 15:00,55.592,57.705,52.42,JVM,
Spring,U12,13.05.24 17:17,21.05.24 15:00,65.866,67.989,58.37,JVM,
Spring,U12,13.05.24 17:17,21.05.24 15:00,52.626,55.993,52.45,JVM,
Spring,U12,13.05.24 17:17,21.05.24 15:00,56.062,52.076,50.72,JVM,
