Reference,DOI,Location,Season,Urchin,Plant,Unit,Consumption_mean,Consumption_sd,Consumption_n,Defecation_mean,Defecation_sd,Defecation_n,Absorption_mean,Absorption_sd,Absorption_n,Percentage_mean,Percentage_sd,Percentage_n,Source,Notes
Frantzis & Grémare 1992,10.3354/meps095169,"Bay of Banyuls, France","Winter, Spring, Summer",Paracentrotus lividus,"Rissoella verruculosa, Ericaria mediterranea, Ellisolandia elongata, Halopteris scoparia, Padina pavonica, Ulva rigida, Cystoseira compressa, Colpomenia sinuosa, Posidonia oceanica, Codium vermilara, Asparagopsis armata, Dictyota spiralis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.826749306,NA,1,Figure 3,organic dry mass only but not Conover ratio
Frantzis & Grémare 1992,10.3354/meps095169,"Bay of Banyuls, France","Winter, Spring, Summer",Paracentrotus lividus,"Rissoella verruculosa, Ericaria mediterranea, Ellisolandia elongata, Halopteris scoparia, Padina pavonica, Ulva rigida, Cystoseira compressa, Colpomenia sinuosa, Posidonia oceanica, Codium vermilara, Asparagopsis armata, Dictyota spiralis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.469386735,NA,1,Figure 3,organic dry mass only but not Conover ratio
Frantzis & Grémare 1992,10.3354/meps095169,"Bay of Banyuls, France","Winter, Spring, Summer",Paracentrotus lividus,"Rissoella verruculosa, Ericaria mediterranea, Ellisolandia elongata, Halopteris scoparia, Padina pavonica, Ulva rigida, Cystoseira compressa, Colpomenia sinuosa, Posidonia oceanica, Codium vermilara, Asparagopsis armata, Dictyota spiralis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.89390767,NA,1,Figure 3,organic dry mass only but not Conover ratio
Frantzis & Grémare 1992,10.3354/meps095169,"Bay of Banyuls, France","Winter, Spring, Summer",Paracentrotus lividus,"Rissoella verruculosa, Ericaria mediterranea, Ellisolandia elongata, Halopteris scoparia, Padina pavonica, Ulva rigida, Cystoseira compressa, Colpomenia sinuosa, Posidonia oceanica, Codium vermilara, Asparagopsis armata, Dictyota spiralis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.9035014,NA,1,Figure 3,organic dry mass only but not Conover ratio
Frantzis & Grémare 1992,10.3354/meps095169,"Bay of Banyuls, France","Winter, Spring, Summer",Paracentrotus lividus,"Rissoella verruculosa, Ericaria mediterranea, Ellisolandia elongata, Halopteris scoparia, Padina pavonica, Ulva rigida, Cystoseira compressa, Colpomenia sinuosa, Posidonia oceanica, Codium vermilara, Asparagopsis armata, Dictyota spiralis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.19581023,NA,1,Figure 3,organic dry mass only but not Conover ratio
Frantzis & Grémare 1992,10.3354/meps095169,"Bay of Banyuls, France","Winter, Spring, Summer",Paracentrotus lividus,"Rissoella verruculosa, Ericaria mediterranea, Ellisolandia elongata, Halopteris scoparia, Padina pavonica, Ulva rigida, Cystoseira compressa, Colpomenia sinuosa, Posidonia oceanica, Codium vermilara, Asparagopsis armata, Dictyota spiralis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.79060209,NA,1,Figure 3,organic dry mass only but not Conover ratio
Frantzis & Grémare 1992,10.3354/meps095169,"Bay of Banyuls, France","Winter, Spring, Summer",Paracentrotus lividus,"Rissoella verruculosa, Ericaria mediterranea, Ellisolandia elongata, Halopteris scoparia, Padina pavonica, Ulva rigida, Cystoseira compressa, Colpomenia sinuosa, Posidonia oceanica, Codium vermilara, Asparagopsis armata, Dictyota spiralis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.66945446,NA,1,Figure 3,organic dry mass only but not Conover ratio
Frantzis & Grémare 1992,10.3354/meps095169,"Bay of Banyuls, France","Winter, Spring, Summer",Paracentrotus lividus,"Rissoella verruculosa, Ericaria mediterranea, Ellisolandia elongata, Halopteris scoparia, Padina pavonica, Ulva rigida, Cystoseira compressa, Colpomenia sinuosa, Posidonia oceanica, Codium vermilara, Asparagopsis armata, Dictyota spiralis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.68160652,NA,1,Figure 3,organic dry mass only but not Conover ratio
Frantzis & Grémare 1992,10.3354/meps095169,"Bay of Banyuls, France","Winter, Spring, Summer",Paracentrotus lividus,"Rissoella verruculosa, Ericaria mediterranea, Ellisolandia elongata, Halopteris scoparia, Padina pavonica, Ulva rigida, Cystoseira compressa, Colpomenia sinuosa, Posidonia oceanica, Codium vermilara, Asparagopsis armata, Dictyota spiralis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.58144117,NA,1,Figure 3,organic dry mass only but not Conover ratio
Frantzis & Grémare 1992,10.3354/meps095169,"Bay of Banyuls, France","Winter, Spring, Summer",Paracentrotus lividus,"Rissoella verruculosa, Ericaria mediterranea, Ellisolandia elongata, Halopteris scoparia, Padina pavonica, Ulva rigida, Cystoseira compressa, Colpomenia sinuosa, Posidonia oceanica, Codium vermilara, Asparagopsis armata, Dictyota spiralis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.41113569,NA,1,Figure 3,organic dry mass only but not Conover ratio
