Type,Type2,Run,RunRep,No,start,stop,drop length (m),Comment,Sinking time (s),Speed m/s,WW (g),WW2 (g),Area (mm2),Length (mm),Width (mm),vol ml,Vol (mm3),Density (kg/m3),note
Blade,Blade new,3,3,4,2.04,2.14,0.5,,10,0.05,276,,212741,815.5,451,355,355000,777.4647887,
Blade,Blade new,3,3,5,2.15,2.3,1,,15,0.066666667,170,,133946,579,422,260,260000,653.8461538,
Blade,Blade new,3,3,6,2.42,2.52,1,,10,0.1,364,,219481,291,456.8,475,475000,766.3157895,
Blade,Blade new,3,3,7,3.09,3.22,1,,13,0.076923077,228,,163264,613,458,260,260000,876.9230769,
Blade,Blade new,3,3,8,3.26,3.37,1,,11,0.090909091,206,,106305,590,393,300,300000,686.6666667,
Blade,Blade new,3,3,9,3.41,3.47,1,,6,0.166666667,285,,185417,803,478,300,300000,950,
Blade,Blade new,3,3,10,3.48,4.04,1,,16,0.0625,198,,135367,632,431,300,300000,660,
Stipe,Stipe,1,1,1,0.56,1.06,1.5,,10,0.15,408,,23948,1028,,350,350000,1165.714286,
Stipe,Stipe,1,1,2,0.36,0.39,1,,3,0.333333333,423,,21552,962,,440,440000,961.3636364,
Stipe,Stipe,1,1,3,1.07,1.14,1,,7,0.142857143,441,,27880,1202,,490,490000,900,
Stipe,Stipe,1,1,4,1.12,1.17,0.5,,5,0.1,383,,22580,1048,,285,285000,1343.859649,
Stipe,Stipe,1,1,5,1.18,1.22,0.5,,4,0.125,467,,25656,1065.2,,440,440000,1061.363636,
Stipe,Stipe,1,1,6,1.35,1.39,1,,4,0.25,429,,19705.6,1018,,280,280000,1532.142857,
Stipe,Stipe,1,1,7,1.43,1.48,1,,5,0.2,368,,24000,1004,,500,500000,736,
Stipe,Stipe,1,1,8,1.51,1.54,0.5,,3,0.166666667,390,,23480,984,,495,495000,787.8787879,
Stipe,Stipe,1,1,9,1.56,1.59,0.5,,3,0.166666667,407,,22728,1034,,380,380000,1071.052632,
Stipe,Stipe,1,1,10,2.04,2.1,1,,6,0.166666667,407,,20428,966,,490,490000,830.6122449,
Stipe,Stipe,2,2,1,0.24,0.27,1,Short - broken,3,0.333333333,408,,23948,1028,,350,350000,1165.714286,
Stipe,Stipe,2,2,2,0.44,0.48,1,,4,0.25,423,,21552,962,,440,440000,961.3636364,
Stipe,Stipe,2,2,3,0.57,1.04,1,,7,0.142857143,441,,27880,1202,,490,490000,900,
Stipe,Stipe,2,2,4,1.05,1.11,0.7,,6,0.116666667,383,,22580,1048,,285,285000,1343.859649,
Stipe,Stipe,2,2,5,1.12,1.18,0.8,,6,0.133333333,467,,25656,1065.2,,440,440000,1061.363636,
Stipe,Stipe,2,2,6,1.21,1.24,0.5,,3,0.166666667,429,,19705.6,1018,,280,280000,1532.142857,
Stipe,Stipe,2,2,7,1.26,1.3,1,,4,0.25,368,,24000,1004,,500,500000,736,
Stipe,Stipe,2,2,8,0.53,0.55,0.4,re-run at the end,2,0.2,390,,23480,984,,495,495000,787.8787879,
Stipe,Stipe,2,2,9,1.36,1.39,0.5,,3,0.166666667,407,,22728,1034,,380,380000,1071.052632,
Stipe,Stipe,2,2,10,1.42,1.45,0.5,,3,0.166666667,407,,20428,966,,490,490000,830.6122449,
Stipe,Stipe,3,3,1,0.43,0.48,0.9,Short - broken,5,0.18,408,,23948,1028,,350,350000,1165.714286,
Stipe,Stipe,3,3,2,0.5,0.57,0.8,,7,0.114285714,423,,21552,962,,440,440000,961.3636364,
Stipe,Stipe,3,3,3,0.59,1.01,0.5,,2,0.25,441,,27880,1202,,490,490000,900,
Stipe,Stipe,3,3,4,1.06,1.1,0.7,,4,0.175,383,,22580,1048,,285,285000,1343.859649,
